"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","2617","addGenLanguage","","Mon Sep 09 02:11:53 EET 2024","failed","Mon Sep 09 02:11:56 EET 2024","","org.hepsiburada.tests.Scenarios","org.hepsiburada.tests.Scenarios","addGenLanguage"
"","741","getGenLanguage","","Mon Sep 09 02:11:56 EET 2024","passed","Mon Sep 09 02:11:57 EET 2024","","org.hepsiburada.tests.Scenarios","org.hepsiburada.tests.Scenarios","getGenLanguage"
